age,priors_count,days_b_screening_arrest,c_jail_time,juv_fel_count,juv_other_count,juv_misd_count,c_charge_degree:F,c_charge_degree:M,race:African-American,race:Asian,race:Caucasian,race:Hispanic,race:Native_American,race:Other,age_cat:25_-_45,age_cat:Greater_than_45,age_cat:Less_than_25,sex:Female,sex:Male,is_recid
30,9,0.0,44.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
32,4,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
55,0,-1.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
49,7,-1.0,3.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1
33,4,-1.0,11.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
24,1,0.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
34,21,0.0,33.0,2,3,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1
29,0,0.0,-1.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
21,2,-1.0,79.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
51,2,-1.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
29,2,-1.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
51,7,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
29,0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
25,9,-1.0,6.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
35,13,-1.0,0.0,1,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
49,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
29,0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
29,1,-24.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
28,0,-1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
31,15,-1.0,135.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
24,2,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
30,0,0.0,23.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
49,4,-1.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
53,8,-13.0,13.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
35,5,-1.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
27,15,-1.0,1.0,1,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1
38,4,-1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
22,1,-1.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
29,4,-1.0,18.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
62,0,0.0,-1.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
27,6,0.0,30.0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1
33,0,-1.0,1.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
56,0,0.0,3.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
45,6,-1.0,241.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
22,1,-1.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
39,1,-1.0,4.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
29,5,0.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
27,1,-1.0,14.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
40,2,-15.0,3.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
22,1,0.0,16.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
22,0,-1.0,57.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
26,1,-1.0,2.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
32,0,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
41,1,-1.0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
30,8,-1.0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
50,0,-1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1
25,14,-1.0,7.0,1,1,6,1,0,1,0,0,0,0,0,1,0,0,0,1,1
20,0,-1.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1
22,2,0.0,30.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
35,1,-1.0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
36,9,0.0,3.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
26,7,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
21,1,0.0,3.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1
25,9,-1.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
20,0,-1.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
39,2,-2.0,-1.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
54,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
44,0,-2.0,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
19,1,-10.0,9.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
30,1,-1.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
39,0,-1.0,1.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1
24,8,-1.0,12.0,0,2,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1
30,0,-1.0,5.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
31,0,-1.0,38.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
39,1,-1.0,106.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
43,1,-30.0,1.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
21,3,-1.0,6.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
38,5,-1.0,2.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
34,0,0.0,14.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
33,5,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
37,3,0.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
42,1,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
41,10,0.0,176.0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1
22,0,-1.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
33,28,-1.0,1.0,0,2,12,1,0,1,0,0,0,0,0,1,0,0,0,1,1
31,1,-1.0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
30,1,-1.0,1.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
31,13,-1.0,471.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
27,3,-1.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
52,3,-2.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
33,19,-1.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
42,6,-4.0,-1.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
25,2,-1.0,3.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
30,1,-20.0,3.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
37,2,-1.0,1.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
28,0,-1.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
24,0,-1.0,2.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
29,10,-1.0,7.0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1
44,2,0.0,-1.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
32,3,-1.0,8.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
31,2,-16.0,15.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
31,1,-1.0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
59,1,-1.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
20,1,0.0,2.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
43,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
38,9,-1.0,13.0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1
32,11,-2.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
33,8,-1.0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
31,0,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
33,7,-1.0,26.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
27,2,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
20,0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
26,0,-2.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
61,1,-1.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
52,13,-1.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1
63,1,-26.0,14.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
32,4,-7.0,6.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
29,1,-1.0,0.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
26,2,-1.0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
39,1,-1.0,3.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
30,3,0.0,530.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1
30,1,0.0,70.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
48,2,-1.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
22,1,-1.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
46,6,22.0,22.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
31,0,0.0,2.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
25,1,-1.0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
23,0,-1.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
32,5,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
52,2,-1.0,3.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
62,8,0.0,15.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
31,8,29.0,117.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
28,6,-1.0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
54,2,-1.0,188.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
58,0,-1.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
78,1,-1.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
56,0,-1.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
24,0,-1.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
22,1,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
47,23,-1.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
23,0,-1.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
57,1,0.0,19.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
66,3,-10.0,2.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1
45,8,0.0,71.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
37,2,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
39,0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
26,9,0.0,79.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
45,2,-1.0,358.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
23,0,-1.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
34,2,0.0,25.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
23,1,-1.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
36,2,-1.0,2.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
50,1,-4.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
37,0,-1.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
44,4,0.0,1.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
35,23,-1.0,2.0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1
24,5,-1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1
26,2,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
27,0,-1.0,2.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
28,0,0.0,29.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
28,7,-1.0,1.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1
38,2,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
28,1,-1.0,38.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
56,7,-1.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
38,15,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
28,2,-1.0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
51,0,-1.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1
51,0,-1.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
36,1,-1.0,1.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
48,0,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
37,4,0.0,1.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
30,2,-1.0,2.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
41,5,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
27,11,-1.0,223.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
37,0,-1.0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
33,4,0.0,2.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1
54,11,-1.0,129.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
23,2,-1.0,71.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
41,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
52,0,-1.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
43,13,0.0,51.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
52,0,-1.0,13.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
28,1,-3.0,3.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
30,11,-1.0,1.0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
28,1,0.0,6.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
22,0,-1.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
30,4,0.0,-1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
25,4,0.0,1.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
31,0,-1.0,30.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
37,0,-1.0,35.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
32,14,-1.0,1.0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0
53,1,-1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
28,25,29.0,25.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
44,8,-1.0,4.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
25,0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
22,1,0.0,5.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
37,0,-1.0,1.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
40,3,-1.0,1.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
31,0,-1.0,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
23,1,-1.0,1.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
23,5,-1.0,0.0,0,4,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1
24,0,-3.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
29,1,-1.0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
20,1,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
30,2,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
39,0,-1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
27,4,-1.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
37,2,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
20,0,-1.0,2.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
22,0,0.0,2.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
52,0,-1.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
23,0,-1.0,3.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1
48,0,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
25,0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
27,0,-1.0,1.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
30,11,0.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
22,3,-1.0,1.0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1
22,1,-1.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
41,2,-1.0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
25,0,-1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
52,3,0.0,24.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1
43,0,-1.0,41.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
37,3,-4.0,2.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
70,1,-13.0,12.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
46,3,-1.0,14.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
21,0,-1.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
26,1,-1.0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
38,3,23.0,1.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
34,5,-1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
34,5,-1.0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
23,0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
34,5,-1.0,2.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
39,6,-1.0,2.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
24,0,-1.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
58,2,-1.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
21,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
23,4,-11.0,11.0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
62,0,0.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
37,5,-1.0,10.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
43,2,-1.0,7.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1
32,5,0.0,-1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
23,0,-1.0,45.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
27,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
44,0,-1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
28,3,-1.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
42,0,-3.0,1.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
24,9,-1.0,4.0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1
27,0,0.0,17.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
20,0,-1.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
51,0,0.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
56,0,0.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
29,7,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
20,0,-1.0,209.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
27,8,-1.0,68.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
24,2,-1.0,19.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1
53,36,-7.0,32.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
28,2,0.0,1.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
21,3,-22.0,22.0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1
36,0,-1.0,12.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
25,2,-2.0,1.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
23,1,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1
28,1,-4.0,1.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
21,0,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1
36,0,-1.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
24,0,-1.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
30,1,-1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1
29,0,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
30,0,0.0,3.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
51,1,-1.0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
32,12,-1.0,1.0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1
23,1,0.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
47,3,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
37,0,-1.0,19.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
19,2,-1.0,1.0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,1,1
27,0,-1.0,2.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
